Simulation_Run,Gen,Cand,Type,Value,Fit,deprioritized,E_rate_mean,E_rate_fitness,stdev,stdev_fitness,kurtosis,kurtosis_fitness,skewness,skew_fitness,fitness,E_ISI_mean,E_ISI_fitness,I_rate_mean,I_rate_fitness,I_ISI_mean,I_ISI_fitness,avg_IBI,Stdev,Skew,Kurtosis,mean,skew
240808_Run1_testing,gen_1,213,baseline_fit,1468.9887627201097,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,58,baseline_fit,690.533418414714,855.2742240329459,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,237,baseline_fit,1870.2484249633699,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,230,baseline_fit,2843.6342541037607,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,458,baseline_fit,2551.04766595679,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,453,baseline_fit,1479.121083532181,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,399,baseline_fit,1079.5845733123213,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,500,baseline_fit,2197.8354364237994,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,171,baseline_fit,8952.270905127094,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,86,baseline_fit,770.7697829561039,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,451,baseline_fit,3169.916412650536,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,4,baseline_fit,1326.5931210502158,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,346,baseline_fit,63.52771459898286,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,316,baseline_fit,91.08179393942898,484.25810013796536,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,159,baseline_fit,1466.9443727876335,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,260,baseline_fit,1702.4862326569641,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,178,baseline_fit,1447.5092905034426,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,477,baseline_fit,5392.123263332766,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,300,baseline_fit,5651.997283261405,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,0,baseline_fit,4880.325007820053,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,445,baseline_fit,1245.2258706919297,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,272,baseline_fit,3422.511417330729,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,391,baseline_fit,421.7239085058487,336.0091349468558,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,53,baseline_fit,3720.0986178084513,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,74,baseline_fit,2484.3824287007787,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,163,baseline_fit,1435.0196167029585,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,242,baseline_fit,1828.9956883276316,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,392,baseline_fit,459.6969535503352,421.6615091382923,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,24,baseline_fit,1260.9083809782162,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,46,baseline_fit,1804.0307588221845,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,196,baseline_fit,3320.1479335396184,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,207,baseline_fit,6498.304876527397,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,132,baseline_fit,1091.8315078546443,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,394,baseline_fit,2770.881945174068,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,118,baseline_fit,2489.5938602021474,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,277,baseline_fit,1509.2806666373701,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,325,baseline_fit,1482.4953727534073,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,209,baseline_fit,166.27865105482468,317.04082709347307,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,124,baseline_fit,948.403660677169,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,292,baseline_fit,1170.878101547616,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,120,baseline_fit,1788.6706754504173,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,353,baseline_fit,2113.6573137132273,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,2,baseline_fit,1472.9677287505338,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,396,baseline_fit,6030.882596499566,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,463,baseline_fit,701.8959519637533,873.2286596957746,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,94,baseline_fit,429.19964743446513,353.2314448957469,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,84,baseline_fit,9411.492845538185,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,114,baseline_fit,8424.06631208207,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,411,baseline_fit,610.2990276357475,720.0744326535334,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,221,baseline_fit,658.5297395012176,803.1498096049132,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,383,baseline_fit,169.6559003716344,309.1120500848017,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,303,baseline_fit,1673.1215913618432,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,78,baseline_fit,1154.0591192564466,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,484,baseline_fit,908.6003386794234,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,70,baseline_fit,267.3927526027458,62.72857967206486,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,470,baseline_fit,227.24447273404851,168.0109126190573,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,156,baseline_fit,1310.2432829134984,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,450,baseline_fit,748.9730984916431,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,344,baseline_fit,5115.333109385523,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,193,baseline_fit,288.1980324836513,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,284,baseline_fit,2038.2789530837865,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,323,baseline_fit,680.7892222590822,839.649089711272,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,290,baseline_fit,84.30127290780999,498.4931500049459,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,271,baseline_fit,778.5379082942057,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,371,baseline_fit,1164.5724077532814,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,332,baseline_fit,1022.545302205828,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,397,baseline_fit,5059.654598086804,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,31,baseline_fit,512.8608441028382,534.2180834116091,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,294,baseline_fit,0.0,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,448,baseline_fit,930.7176745454601,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,378,baseline_fit,986.3263526526338,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,34,baseline_fit,168.14439875014898,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,66,baseline_fit,2466.9431103776187,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,224,baseline_fit,73.353813041522,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,338,baseline_fit,1375.946617895005,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,333,baseline_fit,1018.9241136109663,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,79,baseline_fit,3239.3571316148546,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,27,baseline_fit,720.7253282234916,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,151,baseline_fit,358.82934197855656,183.79107994455882,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,185,baseline_fit,8097.380670985744,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,486,baseline_fit,494.76519913463073,496.83833438574504,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,194,baseline_fit,3141.3343410399466,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,357,baseline_fit,616.1561905966103,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,488,baseline_fit,2097.264164357543,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,236,baseline_fit,2294.520224890131,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,119,baseline_fit,704.6274635608406,877.5026499955758,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,233,baseline_fit,2455.5667159152176,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,437,baseline_fit,737.1663956177838,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,141,baseline_fit,796.9430451853484,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,258,baseline_fit,478.4639229486501,462.3491543966781,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,177,baseline_fit,5.0317763692399105,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,382,baseline_fit,1223.9498731201934,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,504,baseline_fit,315.11712062300677,69.86570553134766,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,179,baseline_fit,2976.6117629773944,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,375,baseline_fit,884.5235000418459,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,136,baseline_fit,302.2483570262318,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,415,baseline_fit,3303.948223806527,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,365,baseline_fit,947.4876708972703,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,82,baseline_fit,2201.6399868424764,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,38,baseline_fit,252.6091662728178,102.18242813611596,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,452,baseline_fit,1771.1925301730855,1000.0,False,,,,,,,,,,,,,,,,,,,,,
