Simulation_Run,Gen,Cand,Type,Value,Fit,deprioritized,E_rate_mean,E_rate_fitness,stdev,stdev_fitness,kurtosis,kurtosis_fitness,skewness,skew_fitness,fitness,I_rate_mean,I_rate_fitness,E_ISI_mean,E_ISI_fitness,I_ISI_mean,I_ISI_fitness,avg_IBI,Stdev,Skew,Kurtosis,mean,skew
240808_Run1_testing,gen_1,38,small_burst_fit,326.1313511619559,920.6668567703271,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,152,small_burst_fit,409.17511274745584,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,425,small_burst_fit,721.6087915798018,409.1996378789225,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,180,small_burst_fit,381.6403316133777,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,409,small_burst_fit,148.30233395486914,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,507,small_burst_fit,375.7428546165204,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,34,small_burst_fit,848.1131851545221,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,151,small_burst_fit,404.7400022911478,769.1491909566431,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,72,small_burst_fit,501.0548585557096,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,97,small_burst_fit,1188.5394171238688,500.50036376191696,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,67,small_burst_fit,8.44267641680028,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,486,small_burst_fit,524.8042227335119,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,19,small_burst_fit,682.3903419221465,452.1409479866038,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,250,small_burst_fit,423.0440572430141,954.8371347165261,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,70,small_burst_fit,302.2604991870408,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,224,small_burst_fit,183.50482333294096,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,25,small_burst_fit,368.8469299175445,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,504,small_burst_fit,367.78408633463874,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,212,small_burst_fit,796.8086265167994,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,162,small_burst_fit,314.35635632651974,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,201,small_burst_fit,1173.2521228259884,500.50035668356975,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,290,small_burst_fit,219.72628112658526,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,389,small_burst_fit,374.7251069405983,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,101,small_burst_fit,435.2254925446564,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,506,small_burst_fit,1170.0988830488945,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,428,small_burst_fit,453.35160882981364,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,31,small_burst_fit,562.5710067838327,1000.0,False,,,,,,,,,,,,,,,,,,,,,
