Generation,Fit_Type,Filtered_Mean
gen_0,burst_frequency_fitness,0.39517906336088154
gen_0,thresh_fit,2204.315285675643
gen_0,baseline_fit,1162.5184125083572
gen_0,big_burst_fit,1024.8478683739731
gen_0,small_burst_fit,218.94208873514094
gen_0,bimodal_burst_fit,0.4937812573698108
gen_0,IBI_fitness,6.6486771232719155
gen_0,E_rate_fit,24.495089259495234
gen_0,I_rate_fit,5.8723290837838835
gen_0,E_ISI_fit,1.4442929525499528
gen_0,I_ISI_fit,5.994706267218999
gen_1,burst_frequency_fitness,0.4262091318166085
gen_1,thresh_fit,2466.281673972344
gen_1,baseline_fit,1283.6217347057252
gen_1,big_burst_fit,1227.0892418894573
gen_1,small_burst_fit,140.94910286047602
gen_1,IBI_fitness,6.9242380693479095
gen_1,E_rate_fit,28.931171880077123
gen_1,I_rate_fit,9.17513717532594
gen_1,E_ISI_fit,1.5540652784583031
gen_1,I_ISI_fit,3.58197282965417
gen_2,burst_frequency_fitness,0.35773115773115777
gen_2,thresh_fit,2334.655666298263
gen_2,baseline_fit,1211.3601366915627
gen_2,big_burst_fit,1230.4942888769287
gen_2,small_burst_fit,151.4564048986969
gen_2,bimodal_burst_fit,0.4692607050662167
gen_2,IBI_fitness,7.041278960819887
gen_2,E_rate_fit,29.677739463976017
gen_2,I_rate_fit,9.172524291679505
gen_2,E_ISI_fit,1.4879590835104575
gen_2,I_ISI_fit,2.8282108864253477
gen_3,burst_frequency_fitness,0.3604312001023126
gen_3,thresh_fit,1890.7351734254855
gen_3,baseline_fit,982.1026530591536
gen_3,big_burst_fit,1175.1174262262332
gen_3,small_burst_fit,120.90169545645075
gen_3,bimodal_burst_fit,0.4935290887402406
gen_3,IBI_fitness,9.734288698888928
gen_3,E_rate_fit,25.839180964523905
gen_3,I_rate_fit,8.023166018574937
gen_3,E_ISI_fit,2.0253101074227686
gen_3,I_ISI_fit,3.5992450366493105
gen_4,burst_frequency_fitness,0.4119588744588744
gen_4,thresh_fit,1939.8750682978393
gen_4,baseline_fit,993.2199030688511
gen_4,big_burst_fit,1414.0770466438685
gen_4,small_burst_fit,148.90330441719917
gen_4,bimodal_burst_fit,0.521784530836255
gen_4,IBI_fitness,6.842695924419388
gen_4,E_rate_fit,25.08062875599332
gen_4,I_rate_fit,9.866605268843577
gen_4,E_ISI_fit,1.9611448657323465
gen_4,I_ISI_fit,2.7335752687407857
gen_5,burst_frequency_fitness,0.4159536541889483
gen_5,thresh_fit,2021.1795351909886
gen_5,baseline_fit,1026.4428761538502
gen_5,big_burst_fit,1672.1724755390342
gen_5,small_burst_fit,121.98322323964689
gen_5,bimodal_burst_fit,0.4789909479186588
gen_5,IBI_fitness,6.923496248555861
gen_5,E_rate_fit,23.8782254093914
gen_5,I_rate_fit,9.455313225411592
gen_5,E_ISI_fit,1.9023454759187883
gen_5,I_ISI_fit,2.5475179347206804
gen_6,burst_frequency_fitness,0.4217028236914601
gen_6,thresh_fit,1738.2815614708777
gen_6,baseline_fit,882.5570703150308
gen_6,big_burst_fit,808.2245190842849
gen_6,small_burst_fit,136.0351859112183
gen_6,bimodal_burst_fit,0.49417181444370595
gen_6,IBI_fitness,6.929429287998472
gen_6,E_rate_fit,23.24584729488409
gen_6,I_rate_fit,8.797475504728673
gen_6,E_ISI_fit,2.204785124485019
gen_6,I_ISI_fit,2.8149390373113983
