Simulation_Run,Gen,Cand,Type,Value,Fit,deprioritized,E_rate_mean,E_rate_fitness,stdev,stdev_fitness,kurtosis,kurtosis_fitness,skewness,skew_fitness,fitness,I_rate_mean,I_rate_fitness,E_ISI_mean,E_ISI_fitness,I_ISI_mean,I_ISI_fitness,avg_IBI,Stdev,Skew,Kurtosis,mean,skew
240808_Run1_testing,gen_1,79,thresh_fit,6489.23366111909,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,38,thresh_fit,260.22182390707616,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,313,thresh_fit,5570.626401404066,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,239,thresh_fit,2320.377309229699,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,358,thresh_fit,1665.120643098977,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,388,thresh_fit,14804.928966080037,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,343,thresh_fit,1934.9628504595178,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,139,thresh_fit,12679.783228796587,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,37,thresh_fit,4073.770365349874,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,397,thresh_fit,10123.497866014339,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,86,thresh_fit,1545.5614682514527,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,27,thresh_fit,1443.3425386454799,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,272,thresh_fit,6846.988262128184,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,152,thresh_fit,214.45333523991863,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,174,thresh_fit,1484.2612092223492,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,425,thresh_fit,696.2381699948197,49.81609469934572,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,453,thresh_fit,2965.853719567732,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,247,thresh_fit,1317.9120213800588,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,375,thresh_fit,1769.209959014222,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,413,thresh_fit,1744.0098289063585,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,114,thresh_fit,16855.279487711425,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,361,thresh_fit,2188.6982375067937,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,176,thresh_fit,1180.9336554655297,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,130,thresh_fit,2446.0418701431454,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,382,thresh_fit,2453.487641467777,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,494,thresh_fit,3606.7822076807906,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,215,thresh_fit,6437.231696075529,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,178,thresh_fit,2902.7579249840774,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,471,thresh_fit,1272.7307115775404,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,82,thresh_fit,4421.692449853223,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,341,thresh_fit,2820.404493652988,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,233,thresh_fit,4917.131045877192,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,502,thresh_fit,15.0245690616595,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,491,thresh_fit,3865.7364723084434,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,81,thresh_fit,9451.361598497062,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,392,thresh_fit,921.4828242476625,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,195,thresh_fit,2680.0257059879855,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,116,thresh_fit,3849.2738243959016,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,445,thresh_fit,2494.194518820785,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,403,thresh_fit,3511.019300641302,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,78,thresh_fit,2311.650684183553,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,21,thresh_fit,3762.1066523839877,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,33,thresh_fit,82.1735763366921,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,452,thresh_fit,3543.4089955622667,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,284,thresh_fit,4094.677742088415,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,505,thresh_fit,1836.6698260459455,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,326,thresh_fit,3522.4499914902135,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,260,thresh_fit,3409.1050187648407,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,396,thresh_fit,12074.337901739951,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,303,thresh_fit,3349.8154991649712,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,29,thresh_fit,2655.7177309441036,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,87,thresh_fit,1657.0003895175537,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,510,thresh_fit,215.82970248732937,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,242,thresh_fit,3669.0390336554133,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,418,thresh_fit,12018.796756441965,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,98,thresh_fit,3359.744754039397,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,180,thresh_fit,348.47436851191804,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,312,thresh_fit,2019.8998152967145,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,417,thresh_fit,5559.24783454854,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,351,thresh_fit,998.2966691657315,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,112,thresh_fit,1891.7472417561914,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,355,thresh_fit,22438.03864295898,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,278,thresh_fit,1970.2008918817828,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,353,thresh_fit,4241.113453199109,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,264,thresh_fit,17740.08065391555,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,409,thresh_fit,134.58886942321402,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,263,thresh_fit,3421.947894416703,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,256,thresh_fit,11934.263014175946,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,458,thresh_fit,5114.5929526682485,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,321,thresh_fit,3255.152398518718,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,160,thresh_fit,5467.760074782078,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,221,thresh_fit,1319.9841416652428,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,271,thresh_fit,1559.3667489617787,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,507,thresh_fit,230.54677732224283,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,6,thresh_fit,4195.4088072129925,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,385,thresh_fit,3141.965209367275,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,111,thresh_fit,72.37787810539965,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,159,thresh_fit,2939.3702940296853,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,206,thresh_fit,4347.797188680867,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,216,thresh_fit,6505.047454327558,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,68,thresh_fit,1451.0951086765092,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,175,thresh_fit,6115.382835953632,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,177,thresh_fit,10.06355273847982,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,291,thresh_fit,9342.300749080789,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,473,thresh_fit,2641.3206617923565,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,281,thresh_fit,4215.318224927433,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,236,thresh_fit,4600.6328574988875,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,457,thresh_fit,2087.6601828509206,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,104,thresh_fit,1397.27264499311,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,181,thresh_fit,1794.082702932558,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,108,thresh_fit,2043.4599324201301,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,255,thresh_fit,1634.7918146260156,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,34,thresh_fit,353.4460018087737,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,1,thresh_fit,3295.8088250017254,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,196,thresh_fit,6641.1810772659655,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,406,thresh_fit,1561.0221461721999,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,230,thresh_fit,5693.268351992672,1000.0,True,,,,,,,,,,,,,,,,,,,,,
